Year;Month;Species;Tag;Genotype;Population;Type;FM;Collection;collection time;multiple_spawning;spawning;DAFM;sunset;spawning_time;TASS;EPB;EPB_sem;ES;ES_sem;FEC;size;approx
2020;October;A. pulchra;87;PULL87;Mahana;Wild;01/10/2020;;;Y;07/10/2020;6;17:56:00;;;11.375;0.706626246;0.6836508;0.007246054;;;
2020;October;A. pulchra;201;PULM201;Mahana;Wild;01/10/2020;;;Y;07/10/2020;6;17:56:00;;;6.625;0.465523315;0.7075926;0.008376509;59.4380948;;
2020;October;A. pulchra;202;PULM202;Mahana;Wild;01/10/2020;;;Y;07/10/2020;6;17:56:00;;;5.958333333;0.285387905;0.5644737;0.006667855;;;
2020;October;A. pulchra;203;PULM203;Mahana;Wild;01/10/2020;;;N;07/10/2020;6;17:56:00;;;5.166666667;0.461042717;0.5955;0.005895143;23.20851183;;
2020;October;A. pulchra;241;PULM241;Mahana;Outplant;01/10/2020;;;Y;07/10/2020;6;17:56:00;;;7.916666667;0.389707558;;;47.56655837;;
2020;October;A. pulchra;201;PULM201;Mahana;Wild;01/10/2020;;;Y;08/10/2020;7;17:57:00;;;;;;;;;
2020;October;A. pulchra;202;PULM202;Mahana;Wild;01/10/2020;;;Y;08/10/2020;7;17:57:00;;;;;;;;;
2020;October;A. pulchra;14_4.2;PUL14;Nursery;Nursery;01/10/2020;;;Y;08/10/2020;7;17:57:00;;;;;0.5633803;0.007268674;;;
2020;October;A. pulchra;66;PULL66;Linareva;Wild;01/10/2020;;;Y;09/10/2020;8;17:57:00;;;8.583333333;0.531325478;;;10.45586107;;
2020;October;A. pulchra;73;PULL73;Linareva;Wild;01/10/2020;;;N;09/10/2020;8;17:57:00;;;9.125;0.572030771;;;;;
2020;October;A. pulchra;76;PULL76;Mahana;Wild;01/10/2020;;;N;09/10/2020;8;17:57:00;;;5.791666667;0.335027398;0.5669091;0.040114574;;;
2020;October;A. pulchra;173;PULM173;Manava;Outplant;01/10/2020;;;N;09/10/2020;8;17:57:00;;;4.916666667;0.268629551;;;;;
2020;October;A. pulchra;178;PULM178;Manava;Outplant;01/10/2020;;;N;09/10/2020;8;17:57:00;;;5.916666667;0.345345168;;;;;
2020;October;A. pulchra;204;PULM204;Mahana;Wild;01/10/2020;;;N;09/10/2020;8;17:57:00;;;7.708333333;0.337720227;0.5533333;0.005215429;;;
2020;October;A. pulchra;208;PULM208;Mahana;Wild;01/10/2020;;;N;09/10/2020;8;17:57:00;;;9.875;1.126609155;0.6065854;0.007614191;;;
2020;October;A. pulchra;234;PULM234;Mahana;Outplant;01/10/2020;;;Y;09/10/2020;8;17:57:00;;;11;0.492700338;;;9.585755996;;
2020;October;A. pulchra;241;PULM241;Mahana;Outplant;01/10/2020;;;Y;09/10/2020;8;17:57:00;;;;;;;42.79652874;;
2020;October;A. pulchra;66;PULL66;Linareva;Wild;01/10/2020;;;Y;10/10/2020;9;17:57:00;;;;;;;8.137761428;;
2020;October;A. pulchra;87;PULL87;Mahana;Wild;01/10/2020;;;Y;10/10/2020;9;17:57:00;;;;;;;;;
2020;October;A. pulchra;234;PULM234;Mahana;Outplant;01/10/2020;;;Y;10/10/2020;9;17:57:00;;;;;;;7.108535314;;
2020;October;A. pulchra;4;PUL4;Nursery;Nursery;01/10/2020;;;N;11/10/2020;10;17:57:00;;;4.904761905;0.337390278;;;8.459942905;;
2020;October;A. pulchra;9;PUL9;Nursery;Nursery;01/10/2020;;;N;11/10/2020;10;17:57:00;;;5.391304348;0.396322674;;;7.871664802;;
2020;October;A. pulchra;71;PULL71;Linareva;Wild;01/10/2020;;;N;11/10/2020;10;17:57:00;;;8.208333333;0.399180168;;;21.2988635;;
2020;October;A. pulchra;72;PULL72;Linareva;Wild;01/10/2020;;;N;11/10/2020;10;17:57:00;;;11.125;0.486456054;;;30.25260195;;
2020;October;A. pulchra;185;PULM185;Manava;Outplant;01/10/2020;;;N;11/10/2020;10;17:57:00;;;8.25;0.489934926;;;4.314721587;;
2020;October;A. pulchra;201;PULM201;Mahana;Wild;01/10/2020;;;Y;11/10/2020;10;17:57:00;;;;;;;151.8675264;;
2020;October;A. pulchra;14_4.2;PUL14;Nursery;Nursery;01/10/2020;;;Y;11/10/2020;10;17:57:00;;;9.6875;0.553963995;;;70.71236115;;
2020;October;A. pulchra;206;PULM206;Mahana;Wild;01/10/2020;;;N;13/10/2020;12;17:57:00;;;7.956521739;0.687201637;0.5898507;0.005927283;22.56176065;;
2020;October;A. pulchra;14_4.2;PUL14;Nursery;Nursery;01/10/2020;;;Y;13/10/2020;12;17:57:00;;;;;;;66.74026138;;
2020;October;A. pulchra;1;PUL1;Nursery;Nursery;01/10/2020;;;N;14/10/2020;13;17:57:00;;;5.25;0.319929793;0.5509804;0.00788267;26.14472808;;
2020;October;A. pulchra;14_4.2;PUL14;Nursery;Nursery;01/10/2020;;;Y;14/10/2020;13;17:57:00;;;;;;;;;
2020;November;A. retusa;RET 27;RETE27;E2B;Wild;31/10/2020;30/10/2020;;Y;07/11/2020;7;18:07:00;22:26:00;04:19:00;;;;;;;
2020;November;A. retusa;RET 27;RETE27;E2B;Wild;31/10/2020;30/10/2020;;Y;08/11/2020;8;18:07:00;22:20:00;04:13:00;12.20833333;0.574138191;0.64026;0.005272846;51.90121521;;
2020;November;A. retusa;RET 30;RETE30;E2B;Wild;31/10/2020;30/10/2020;;Y;08/11/2020;8;18:07:00;22:00:00;03:53:00;7.375;0.416938317;0.64001;0.006465536;51.31683056;;
2020;November;A. retusa;RET 27;RETE27;E2B;Wild;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;;;;;;;
2020;November;A. retusa;RET 29;RETE29;E2B;Wild;31/10/2020;30/10/2020;;N;09/11/2020;9;18:08:00;;;11.125;0.522068407;0.58645;0.007003734;41.275665;;AP118.7
2020;November;A. retusa;RET 30;RETE30;E2B;Wild;31/10/2020;30/10/2020;;Y;09/11/2020;9;18:08:00;;;;;;;;;
